Name,Address,Phone,Latitude,Longitude
Bir Hospital,"Kanti Path, Kathmandu",01-4221988,27.705186,85.313779
Civil Service Hospital of Nepal,"Minbhawan, Kathmandu",01-4793000,27.686533,85.339512
Grande City Hospital,"Tokha, Kathmandu",01-4163500,27.75286,85.325291
Teaching Hospital,"Maharajgunj, Kathmandu",01-4412303,27.736098,85.33021
Teku Hospital,"Teku, Kathmandu",01-4253396,27.6975071,85.3038514
Everest Hospital Pvt. Ltd.,"New Baneshwor,Kathmandu",0-14793024,27.688379,85.33287
Annapurna Neuro Hospital,"Maitighar,Kathmandu",01-4256656,27.694742,85.321611
Norvic International Hospital,"Thapathali,Kathmandu",01-5970032,27.689922,85.31917
Greencity Hospital,"Tokha,Kathmandu",01-14952248,27.737267,85.32285
Om Hospital,"Chabahil,Kathmandu",01-4576225,27.721285,85.344747
Hope Hospital,"Sinamangal,Kathmandu",01-14110842,27.697944,85.348256
B&B Hospital,"Gwarko,Kathmandu",01-5970999,27.664948,85.329309
Chirayu Hospital,"Maharajgunj, Kathmandu",01-15905888,27.74101,85.334008
Janamaitri Hospital,"Balaju,Kathmandu",01-4366302,27.728286,85.303431
National Trauma Center,"Mahankal,Kathmandu",01-4226934,27.704204,85.31314
Motherland Hospital,"Pepsicola,Kathmandu",01-4992788,27.689304,85.359942
